主分类(中文)	HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
耳朵的异常	HP:0011374	Incomplete partition of the cochlea type I	I型耳蜗分隔不全	The cochlea is lacking the entire modiolus and cribriform area, resulting in a cystic appearance. This is accompanied by a large cystic vestibule.	耳蜗缺乏蜗轴和筛区，导致囊性外观。这种情况下，前庭也常常呈囊性。
耳朵的异常	HP:0011375	Cochlear aplasia	耳蜗不发育	Absence of the cochlea, a spiral shaped cavity in the inner ear, owing to a developmental defect.	由于发育缺陷，导致在内耳中呈螺旋形态的耳蜗的缺失。
耳朵的异常	HP:0011376	Morphological abnormality of the vestibule of the inner ear	内耳前庭的形态异常	A morphological abnormality of the vestibule, the central part of the osseous labyrinth that is situated medial to the tympanic cavity, behind the cochlea, and in front of the semicircular canals.	前庭的形态异常，前庭是位于鼓室腔的中部内侧，耳蜗的后面，并在半规管的前部的骨迷路的中心部分。
耳朵的异常	HP:0011377	aplasia of the vestibule	前庭发育缺陷	Complete absence of the vestibule of the inner ear.	内耳前庭完全缺失。
耳朵的异常	HP:0011378	Hypoplasia of the vestibule of the inner ear	内耳前庭发育不良	Underdevelopment of the vestibule of the inner ear.	内耳前庭在发育上不完全。
耳朵的异常	HP:0011379	Dilated vestibule of the inner ear	内耳前庭扩大	Dilatation of the vestibule of the inner ear.	扩张内耳的前庭。内耳前庭部分的扩大
耳朵的异常	HP:0011380	Morphological abnormality of the semicircular canal	半规管形态异常	An abnormality of the morphology of the `semicircular canal` (FMA:60186).	半规管形态的异常（FMA: 60186）。
耳朵的异常	HP:0011381	aplasia of the semicircular canal	半规管不发育	Absence of the semicircular canal.	半规管缺失。
耳朵的异常	HP:0011382	Hypoplasia of the semicircular canal	半规管发育不全	Underdevelopment of the semicircular canal.	半规管发育不全。
耳朵的异常	HP:0011383	Enlarged semicircular canal	半规管扩大	Increased size of the semicircular canal.	半规管的大小增加。
耳朵的异常	HP:0011384	Abnormality of the internal auditory canal	内耳道异常	An abnormality of the `Internal acoustic meatus` (FMA:53163), i.e., of the canal in the petrous part of the temporal bone through which the cranial nerve VII and cranial nerve VIII traverse.	“内听道”(FMA:53163)的异常，内听道为颞骨岩部管道，脑神经VII和脑神经VIII由此穿过。
耳朵的异常	HP:0011385	Absent internal auditory canal	无内听道	Aplasia of the internal auditory canal.	内听道不发育。
耳朵的异常	HP:0011386	Narrow internal auditory canal	内听道狭窄	Reduction in diameter of the internal auditory canal.	内听道的直径变窄。
耳朵的异常	HP:0011387	Enlarged vestibular aqueduct	前庭导水管扩大	Increased size of the vestibular aqueduct.	前庭导水管扩大。
耳朵的异常	HP:0011388	Enlarged cochlear aqueduct	耳蜗导水管扩大	Increased size of the `cochlear duct` (FMA:61119), i.e., of a duct that communicates between the perilymphatic space and the subarachnoid space, and transmits a vein from the cochlea to join the internal jugular.	“耳蜗管”（FMA: 61119）大小的增加，而耳蜗管即为外淋巴腔与蛛网膜下腔之间的管道，并且从耳蜗发送一静脉加入颈内静脉。
耳朵的异常	HP:0011389	Functional abnormality of the inner ear	内耳机能异常	An abnormality of the function of the inner ear.	内耳的功能的异常。
耳朵的异常	HP:0011390	Morphological abnormality of the inner ear	内耳形态异常	An abnormality of the morphology or structure of the inner ear.	内耳形态或结构的异常。
耳朵的异常	HP:0011391	Morphological abnormality of the nerves of the inner ear	内耳神经形态异常		
耳朵的异常	HP:0011392	Abnormality of the vestibular nerve	前庭神经异常		
耳朵的异常	HP:0011393	aplasia of the vestibular nerve.	前庭神经发育缺陷	Absence of the vestibular nerve.	前庭神经缺失。
耳朵的异常	HP:0011394	Hypoplasia of the vestibular nerve	前庭神经发育不良	Underdevelopment of the vestibular nerve.	前庭神经在发育上不完全。
耳朵的异常	HP:0011395	aplasia/Hypoplasia of the cochlea	耳蜗发育缺陷/不全	Absence or underdevelopment of the cochlea, a spiral shaped cavity in the inner ear, owing to a developmental defect.	由于发育缺陷，导致在内耳中呈螺旋形态的耳蜗的缺失或发育不全。
耳朵的异常	HP:0011396	Abnormality of the cochlear nerve	耳蜗神经异常		
神经系统的异常	HP:0011397	Abnormality of the dorsal column of the spinal cord	脊髓后索异常	An abnormality of the dorsal columns, i.e., of the dorsal portion of the gray substance of the spinal cord. The dorsal column consists of the fasciculus gracilis and fasciculus cuneatus and itself is part of the dorsal funiculus.	脊髓后索的异常。脊髓后索即脊髓背部的灰质部分。后索包括薄束及楔束纤维肌及纤维。
神经系统的异常;肌肉组织的异常	HP:0011398	Central hypotonia	中枢性肌张力低下	Reduced muscle tone secondary to an abnormality of the central nervous system.	继发于中枢神经系统异常的肌张力减低。
肌肉组织的异常	HP:0011399	Tibialis atrophy	胫骨肌萎缩	Atrophy of the tibialis muscle.	萎缩的胫骨肌肉。
神经系统的异常	HP:0011400	Abnormal CNS myelination	中枢神经系统髓鞘异常	An abnormality of `myelination` (GO:0042552) of nerves in the central nervous system.	在中枢神经系统中神经髓鞘发育`myelination（GO:0042552）异常。
神经系统的异常	HP:0011401	Delayed peripheral myelination	外周髓鞘化延迟	`Delayed` (PATO:0000502) `myelination` (GO:0042552) in the peripheral nervous system.	周围神经系统髓鞘形成（GO:0042552）延迟（PATO:0000502）。
神经系统的异常	HP:0011402	Demyelinating sensory neuropathy	脱髓鞘性感觉神经病	Demyelination of peripheral sensory nerves.	周围感觉神经脱髓鞘。
胎儿发育或出生异常	HP:0011403	Abnormal umbilical cord blood vessels	脐带血管异常		
生长异常;骨骼系统的异常	HP:0011404	Lethal short-trunk short stature	致命躯干短小矮小	A type of `disproportionate short stature` (HP:0003498) characterized by a short trunk but a average-sized limbs that is lethal at birth.	A型'不相称的短stature`（HP:0003498），特点是短躯干，但一个中等大小的四肢是致命的出生。
生长异常	HP:0011405	Childhood onset short-limb short stature	儿童期发病的短肢矮小		
生长异常;骨骼系统的异常	HP:0011406	Infancy onset short-trunk short stature	婴儿发病的短躯干矮小症	A type of `disproportionate short stature` (HP:0003498) characterized by a short trunk but a average-sized limbs with onset in infancy.	A型'不相称的短stature`（HP:0003498），特点是短躯干，但一个中等大小的肢体发生在婴儿期。
生长异常	HP:0011407	Proportionate tall stature	成比例高挑身材		
生长异常	HP:0011408	Moderate intrauterine growth retardation	中度胎儿宫内发育迟缓	Intrauterine growth retardation that is at least 3 standard deviations (SD) below average, but not as low as 4 SD, corrected for sex and gestational age.	宫内发育迟缓程度大于同性别同胎龄至少3个标准偏差（SD），但不到4 个SD。
胎儿发育或出生异常	HP:0011409	Abnormality of placental membranes	胎盘胎膜异常		
胎儿发育或出生异常	HP:0011410	Caesarian section	剖腹产		
胎儿发育或出生异常	HP:0011411	Forceps delivery	产钳助产		
胎儿发育或出生异常	HP:0011412	Ventouse delivery	胎吸分娩	Delivery of newborn by means of a ventouse, a vacuum device used to assist the delivery of a baby when the second stage of labour has not progressed adequately.	当第二产程进展延长时，应用一个真空设备的吸引装置辅助胎儿分娩。
胎儿发育或出生异常	HP:0011413	Shoulder dystocia	肩难产	Shoulder dystocia occurs when the fetal anterior shoulder impacts against the maternal symphysis following delivery of the vertex.	胎头娩出后，胎儿前肩被嵌顿在耻骨联合上方，用常规助产方法不能娩出胎儿双肩。
胎儿发育或出生异常	HP:0011414	Hydropic placenta	胎盘水肿	An abnormality of the placenta in which there are numerous cystic spaces within the placenta as well as placental enlargement.	胎盘异常的一种，胎盘内有众多囊腔合并胎盘增大。
胎儿发育或出生异常	HP:0011415	Calcified placenta	胎盘钙化	Calcification placenta refers to the placenta with calcium deposits on .	胎盘钙化指胎盘上存在钙质沉积。
胎儿发育或出生异常	HP:0011416	Placental infarction	胎盘梗死	Placental infarcts are macroscopically-evident focal parenchymal lesions in which microscopy shows necrosis and approximation of villi. The pathogenesis are that the infarctions are to be attributed to spastic or organic obliteration of the spiral arteries. Placental infarctions are significantly associated with fetal mortality, dysmaturity, and fetal distress.	胎盘梗死是肉眼可见的局灶性损伤，显微镜下表现为绒毛膜坏死样病变，病因为绒毛膜螺旋动脉痉挛或物理性梗阻。胎盘梗死与死胎。胎儿窘迫和成熟障碍有明确关系。
胎儿发育或出生异常	HP:0011417	Long umbilical cord	长脐带	Increased length of the `umbilical cord` (FMA:85541).	脐带长度增加。
胎儿发育或出生异常	HP:0011418	Abnormal insertion of umbilical cord	脐带插入点异常		
胎儿发育或出生异常	HP:0011419	Placental abruption	胎盘早剥	Placental abruption is a serious condition in which the separation of the placenta from its site of implatation after 20 weeks of gestain or during the delivery before birth	胎盘早剥是指妊娠20周后或分娩期，正常位置的胎盘在胎儿娩出前从子宫壁剥离，是一种妊娠期重症。
死亡/衰老	HP:0011420	Age of death	死亡年龄	The age group when the cessation of life happens.	
死亡/衰老	HP:0011421	Death in adolescence	青春期死亡	Death during adolescence, the period between childhood and adulthood (roughly between the ages of 10 and 19 years).	
代谢/内稳态异常	HP:0011422	Abnormality of chloride homeostasis	氯稳态平衡异常	An abnormality of `chloride` (CHEBI:17996 homeostasis or concentration in the body.	体内`氯`(CHEBI:17996) 平衡稳态或或浓度的异常。
代谢/内稳态异常	HP:0011423	Hyperchloremia	高氯血症	An abnormally increased `chloride` (CHEBI:17996) concentration in the blood.	异常增加`chloride`（CHEBI:17996）的浓度在血液中。
代谢/内稳态异常	HP:0011424	Increased serum zinc	血清锌含量增高	An increased consentration of zinc in the `blood` (FMA:9670).	锌在`blood`增加consentration（FMA:9670）。
胎儿发育或出生异常	HP:0011425	Fetal ultrasound soft marker	胎儿超声软指标	An finding upon obstetric ultrasound examination performed at around 16 to 20 weeks of gestation that is abnormal but not clearly identifiable as a  fetal anatomic malformation or growth restriction. Such findings are known as soft markers since they are associated with increased risk for fetal aneuploidy or other disorders.	在大约16?20周妊娠是不正常的，但不能清楚地标识为胎儿解剖畸形或发育迟缓的表现后，产科超声检查的发现。这些发现被称为软标记物，因为它们是与风险为胎儿非整倍或其他病症的增加有关。
胎儿发育或出生异常	HP:0011426	Fetal choroid plexus cysts	胎儿脉络丛囊肿	Fetal choroid plexus cysts (CPCs) are sonographically discrete, small cysts (3 mm or more) found in the choroid plexus within the lateral cerebral ventricles of the developing fetus at 14 to 24 weeks gestation. Imaging of the choroid plexus is performed in the transverse plane of the fetal head at the same level that the lateral cerebral ventricle is evaluated. The choroid plexus should be inspected bilaterally for the presence of cysts. The size of CPCs is not of clinical relevance (pmid:16100637).	胎脉络丛囊肿（每次点击成本）是超声离散的，小囊肿（3mm以上）的脉络丛中发现的发育中的胎儿的侧脑室内，在14至24周妊娠。在胎头的横向平面，该侧脑室被评估相同的水平进行的脉络丛的成像。脉络丛应双边检查是否包囊的存在。每次点击费用的大小是临床相关（PMID:16100637）不。
胎儿发育或出生异常	HP:0011427	Enlarged fetal cisterna magna	胎儿小脑延髓池扩大	The cisterna magna is measured on a transaxial view of the fetal head angled 15 degrees caudal to the canthomeatal line. The anterior/posterior diameter is taken between the inferior/posterior surface of the vemis of the cerebellum to the inner surface of the cranium. An enlarged cisternal magna is defined by an anterior/posterior diameter of 10 mm or more (pmid:16100637).	小脑延髓池测量胎头角度15度尾椎canthomeatal线的横断视图。的前/后直径取小脑vemis的劣/后表面之间的颅骨的内表面上。的放大脑池蚤是由10mm以上（:16100637 PMID）前/后面直径限定。
胎儿发育或出生异常	HP:0011428	Short fetal femur length	胎儿股骨短小	A short femur length is defined as either a measurement below the 2.5th percentile for gestational age or a measurement that is less than 0.9 of that predicted by the measured biparietal diameter. The femur should be measured with the bone perpendicular to the ultrasound beam and with epiphyseal cartilages visible but not included in the measurement (pmid:16100637).	胎儿股骨短小定义为股骨长度测值小于同孕龄第2.5百分位、或小于以双顶径为标准计算孕龄的第10百分位以下。测量时股骨应与超声波束垂直，并可见骨骺软骨，但其不包含在测量范围内。
胎儿发育或出生异常	HP:0011429	Short fetal humerus length	胎儿肱骨短小	A short humerus length is defined as a length below the 2.5th percentile for gestational age or as a measurement less than 0.9 of that predicted by the measured biparietal diameter. The humerus should be measured with the bone perpendicular to the ultrasound beam and with epiphyseal cartilages visible but not included in the measurement (pmid:16100637).	胎儿肱骨短小定义为肱骨长度测值小于同孕龄第2.5百分位、或小于以双顶径为标准计算孕龄的第10百分位以下。测量时肱骨应与超声波束垂直，并可见骨骺软骨，但其不包含在测量范围内。
胎儿发育或出生异常	HP:0011430	Hypoplasia of fetal nasal bone	胎儿鼻骨发育不良	On prenatal ultrasound, the nasal bone is a thin echogenic line within the bridge of the fetal nose. The fetus is imaged facing the transducer with the fetal face strictly in the midline. The angle of insonation is 90 degrees, with the longitudinal axis of the nasal bone as the reference line. Calibres are placed at each end of the nasal bone. Absence of the nasal bone or measurements below 2.5th percentile are considered significant (pmid:16100637).	产前超声，鼻骨是胎儿鼻梁内的薄回声带。胎儿面部面对探头，成像面在颜面部正中矢状切面，超声声束与鼻骨长轴成90°，测量两端鼻骨边界的距离。鼻骨缺失，或其长度小于同孕周正常值的第2.5百分位数是有显著差异的。
胎儿发育或出生异常	HP:0011431	Fetal fifth finger clinodactyly	胎儿第五指屈指畸形	Fifth finger clinodactyly is defined by a hypoplastic or absent mid-phalanx of the fifth digit. Ultrasound identification of the fetal hand must first be undertaken and then appropriate magnification accomplished. The evaluation requires stretching of the 5 fingers. The diagnosis is established when the middle phalanx of the fifth finger is markedly smaller than normal or absent, which often causes the finger to be curved inward  (pmid:16100637).	第五手指五指由发育不全或不存在中间指骨的第五位的定义。超声波鉴定胎儿的手必须首先进行，然后适当的放大倍率来实现。这种评价需要伸缩5个手指的。 （:16100637 PMID）当第五手指的中间指骨明显高于正常或不存在，这往往使手指被向内弯曲越小诊断确立。
胎儿发育或出生异常	HP:0011432	High maternal serum alpha-fetoprotein	母体血清甲胎蛋白浓度增高	An abnormally high concentration of serum alpha-fetoprotein as compared to normal values for gestational-age.	与相同胎龄的正常值相比，异常升高的母体血清甲胎蛋白浓度。
胎儿发育或出生异常	HP:0011433	High maternal serum chorionic gonadotropin	母体血清绒毛膜促性腺激素浓度增高	An abnormally high concentration of maternal serum human chorionic gonadotropin as compared to normal values for gestational-age.	与相同胎龄的正常值相比，异常升高的母体血清人绒毛膜促性腺激素浓度。
胎儿发育或出生异常	HP:0011434	Low maternal serum chorionic gonadotropin	母体血清绒毛膜促性腺激素浓度降低	An abnormally low concentration of maternal serum human chorionic gonadotropin as compared to normal values for gestational-age.	与相同胎龄的正常值相比，异常降低的母体血清人绒毛膜促性腺激素浓度。
胎儿发育或出生异常	HP:0011435	Low maternal serum PAPP-A	母体血清PAPP-A浓度降低	An abnormally low concentration of serum PAPP-A (pregnancy associated plasma protein A), as compared to normal values for gestational-age.	与相同胎龄的正常值相比，异常降低的母体血清PAPP-A浓度（妊娠相关血浆蛋白A）。
胎儿发育或出生异常	HP:0011436	Abnormal maternal serum screening	母血清筛查异常	An abnormally elevated or decreased level of a maternal serum marker analytes used in screening for aneuploidy.	非整倍体筛查中，母体血清学标记物水平异常增高或降低。
胎儿发育或出生异常	HP:0011437	Maternal autoimmune disease	母体自身免疫性疾病	Maternal autoimmune diseases are associated with increased rates of fetal wastage.The most common maternal autoimmune diseases are systemic lupus erythematosus(SLE),rheumatoid arthritis,and a host of vasculitis syndromes and so on.	孕妇自身免疫性疾病与胎儿流产及胎死宫内相关。常见的病种包括系统性红斑狼疮，类风湿关节炎，以及血管炎综合征等。
胎儿发育或出生异常	HP:0011438	Maternal teratogenic exposure	孕期致畸暴露	Matenal has been exposured  to  teratogenic substance for example drugs、 chemicals、 source of infection and other physical factors,during pregnancy,which  may cause fetal morphological abnormalities、neurological abnormalities or death.	孕期母体接触过可能对胎儿发育有影响的药物、化学制剂、感染源、物理因子等,可能会导致胎儿形体和/或神经系统发育异常，甚至死亡。
肌肉组织的异常	HP:0011439	Anesthetic-induced rhabdomylosis	麻醉诱导的横纹肌溶解	`Rhabdomyolysis` (HP:0003201) induced by anesthesia.	麻醉诱导的“横纹肌溶解”。
肌肉组织的异常	HP:0011440	Alcohol-induced rhabdomyolysis	酒精性横纹肌溶解症	`Rhabdomyolysis` (HP:0003201) induced by intake of alcohol.	酒精摄入诱导的“横纹肌溶解”。
神经系统的异常	HP:0011441	Abnormality of the medulla oblongata	延髓异常	An abnormality of the `medulla oblongata` (FMA:62004), the lower half of the brainstem.	在`延髓`的异常（FMA:62004），延髓是脑干的下半部。
神经系统的异常	HP:0011442	Abnormality of central motor function	中央运动功能异常	An anomaly of the control or production of movement in the central nervous system.	在中枢神经系统中运动的控制或生产的异常。
神经系统的异常	HP:0011443	Abnormality of coordination	协调异常		
神经系统的异常	HP:0011444	Decorticate rigidity	去皮层强直	A type of rigidity in which the arms are in flexion and adduction and the legs are extended. This signifies a lesion in the cerebral white matter, internal capsules, or thalamus.	上肢屈曲内收、下肢伸直的一种强直类型。这标志着脑白质，内囊，或丘脑病变。
神经系统的异常	HP:0011445	Athetoid cerebral palsy	手足徐动型脑瘫	A type of cerebral palsy characterized by slow, involuntary muscle movement and mixed muscle tone.	一种类型的脑瘫，其特点是缓慢的、不自主的肌肉运动和肌张力忽高忽低。
神经系统的异常	HP:0011446	Abnormality of higher mental function	高级精神功能异常	Cognitive, psychiatric or memory anomaly.	认知，精神或记忆异常。
免疫系统的异常;血液和造血组织异常	HP:0011447	Hyposegmentation of neutrophil nuclei	中性粒细胞核低分化	Hyposegmented (hypolobulated) or bilobed neutrophil nuclei.	低分化的（低分页的）或双叶中性粒细胞的细胞核。
神经系统的异常;四肢异常;骨骼系统的异常	HP:0011448	Ankle clonus	踝阵挛	Clonus is an involuntary tendon reflex that causes repeated flexion and extension of the foot. Ankle clonus is tested by rapidly flexing the foot upward.	踝阵挛是引起足部反复屈伸运动的无意识腱反射。踝阵挛通过快速向上弯曲足部检查。
神经系统的异常	HP:0011449	Knee clonus	膝阵挛	Clonus is an involuntary tendon reflex that causes repeated flexion and extension of the foot. Knee clonus can be tested by rapidly pushing the patella towards the toes.	阵挛是一种不自主腱反射，导致反复地屈伸脚。膝阵挛可通过朝向足趾快速推髌骨进行检查。
神经系统的异常	HP:0011450	CNS infection	中枢神经系统感染		
神经系统的异常;头或颈部的异常;骨骼系统的异常	HP:0011451	Congenital microcephaly	先天性小头畸形	Microcephaly (HP:0000252) that is present already at the time of birth.	出生时已存在的小头畸形
耳朵的异常	HP:0011452	Functional abnormality of the middle ear	中耳机能异常	An abnormality of the function of the middle ear.	中耳的功能的异常。
耳朵的异常	HP:0011453	Abnormality of the incus	砧骨异常	An abnormality of the `incus` (FMA:52752), an ossicle in the middle ear.	在`砧骨`的异常（FMA: 52752），砧骨为中耳听小骨之一。
耳朵的异常	HP:0011454	Abnormality of the malleus	锤骨异常	An abnormality of the `malleus* (FMA:52753), an ossicle in the middle ear.	在“锤骨”（FMA: 52753）的异常，锤骨指位于中耳的听小骨之一。
耳朵的异常	HP:0011455	Absent malleus	锤骨缺失	Aplasia of the `malleus` (FMA:52753).	锤骨不发育（FMA: 52753）。
耳朵的异常	HP:0011456	Absent stapes	镫骨缺失	Aplasia of the `stapes` (FMA:52751).	镫骨不发育（FMA: 52751）。
头或颈部的异常;体壁的异常	HP:0011457	Loss of eyelashes	睫毛退失	This term refers to the loss of eyelashes that were previously present.	这个术语是指睫毛先前存在后来消退至无。
消化系统的异常	HP:0011458	Abdominal symptom	腹部症状		
肿瘤;消化系统的异常	HP:0011459	Esophageal carcinoma	食管癌	The presence of a `carcinoma` (MPATH:549) of the `esophagus` (FMA:7131).	发生于食管的肿瘤。
临床调节因素	HP:0011460	Embryonal onset	胚胎发病	Onset of disease at up to 8 weeks of gestation.	
临床调节因素	HP:0011461	Fetal onset	胎儿发病	Onset prior to birth but after 8 weeks of gestation.	
临床调节因素	HP:0011462	Young adult onset	青年发病	Onset of disease at the age of between 16 and 40 years.	
临床调节因素	HP:0011463	Childhood onset	儿童期发病	Onset of disease at the age of between 1 and 5 years.	
神经系统的异常;消化系统的异常	HP:0011464	Aganglionosis of the small intestine	无神经节性小肠	A lack of intestinal ganglion cells (i.e., an aganglionic section of bowel) affecting the small intestine.	小肠神经节细胞（即肠的无神经节段）缺乏。
神经系统的异常;消化系统的异常	HP:0011465	Duodenal aganglionosis	十二指肠神经节细胞缺乏症	A lack of intestinal ganglion cells (i.e., an aganglionic section of bowel) affecting the duodenum.	缺乏调节十二指肠的肠神经节细胞（如肠的无神经节段）。
消化系统的异常	HP:0011466	aplasia/Hypoplasia of the gallbladder	胆囊发育不全/发育不良	Absence or underdevelopment of the `gallbladder` (FMA:7202).	胆囊的缺失或发育不全。
消化系统的异常	HP:0011467	Absent gallbladder	胆囊缺失	A developmental defect in which the `gallbladder` (FMA:7202) fails to form.	一种未形成胆囊的发育缺陷。
头或颈部的异常	HP:0011468	Facial tics	面部抽动	Sudden, repetitive, nonrhythmic motor movements (spasms), involving the eyes and muscles of the face.	眼睛和面部肌肉的突然，重复，无节奏的活动（痉挛）。
消化系统的异常	HP:0011469	Nasal regurgitation	鼻腔返流	Regurgitation of milk through the nose.	（婴儿）经由鼻腔吐奶。
消化系统的异常	HP:0011470	Nasogastric tube feeding in infancy	婴儿期鼻胃管饲	Feeding problem necessitating nasogastric tube feeding.	（婴儿期）由于喂养问题不得不进行鼻胃管饲。
消化系统的异常	HP:0011471	Gastrostomy tube feeding in infancy	婴儿期胃造口管饲	Feeding problem necessitating gastrostomy tube feeding.	（婴儿期）由于喂养问题不得不进行胃造口管饲。
消化系统的异常	HP:0011472	Abnormality of small intestinal villus morphology	小肠绒毛形态异常		
消化系统的异常	HP:0011473	Villous atrophy	绒毛萎缩	The enteric villi are atrophic or absent.	肠绒毛萎缩或缺失。
耳朵的异常	HP:0011474	Childhood onset sensorineural hearing impairment	儿童期发病的感音神经性听觉障碍	`Sensorineural hearing impairment` (===HP:0008538===) with childhood onset.	`感音神经性听觉障碍`（HP: 0008538）在儿童期起病。
耳朵的异常	HP:0011475	Persistent stapedial artery	残留性镫骨动脉	Persistence of the stapedial artery, which normally regresses during embryonic life.	通常在胚胎期退化却残存下来的镫骨动脉。
耳朵的异常	HP:0011476	Profound sensorineural hearing impairment	极重度感音神经性听力损失	Complete loss of hearing related to a sensorineural defect.	听力完全丧失的神经性缺陷。
眼睛的异常	HP:0011477	Upbeat nystagmus	上跳性眼球震颤	In primary position the Upbeat nystagmus beats upward. The associated oscillopsias are often very irritating, but the symptoms are usually transient.	此型眼球震颤呈眼球跳动上升。相关症状通常是短暂的。
眼睛的异常;头或颈部的异常	HP:0011478	True anophthalmia	无眼畸形	Absence of globe, optic nerve, chiasm and optic tracts.  No evidence of ocular tissue on MRI scan or examination.	无眼球、视神经、视交叉及视束。 MRI扫描或体格检查眼部无内容物。
头或颈部的异常	HP:0011479	Abnormality of the lacrimal punctum	泪点异常	An abnormality of the `lacrimal punctum` (FMA:59365), an opening on the eyelid close to the medial canthus that drains tears from the conjunctival sac into the lacrimal duct in the same eyelid.	在泪点的异常（FMA:59365），泪点在下眼睑靠近内侧眼角部位，主要作用是吸收结膜囊中的泪液，引流到泪道中。
眼睛的异常;头或颈部的异常	HP:0011480	Unilateral microphthalmos	单侧小眼畸形	A developmental anomaly characterized by abnormal smallness of one eye.	一种单侧眼睛发育过小的生长畸形。
头或颈部的异常	HP:0011481	Abnormality of the lacrimal duct	泪道异常	An abnormality of the ` lacrimal duct` (FMA:61063), a duct that drain tears from the conjunctiva, via the lacrimal puncta, into the lacrimal sac.	在`泪道（FMA:61063）的异常，泪道是泪液排出的通道，眼泪从泪小点进入泪囊。
头或颈部的异常	HP:0011482	Abnormality of the lacrimal gland	泪腺异常	Abnormality of the `lacrimal gland` (FMA:59101), i.e., of the almond-shaped gland that secretes the aqueous layer of the tear film for each eye.	在泪腺上的异常（FMA:59101）泪腺是杏核状的腺体，分泌的液体是泪膜的水层。
眼睛的异常	HP:0011483	Anterior synechiae of the anterior chamber	前房粘连	Adhesions between the iris and the cornea.	虹膜和角膜之间的粘连。
眼睛的异常	HP:0011484	Posterior synechiae of the anterior chamber	前房后粘连	Adhesions between the iris and the lens.	虹膜和透镜之间的粘连。
眼睛的异常	HP:0011485	Corneolenticular adhesion	角膜透镜粘连	Developmental abnormality in which the lens and cornea are not separated.	发育异常，其中，晶状体和角膜不分开。
眼睛的异常	HP:0011486	Abnormality of corneal thickness	角膜厚度异常	An abnormal anteroposterior thickness of the cornea.	角膜的一种不正常的前后厚度。
眼睛的异常	HP:0011487	Increased corneal thickness	角膜厚度增加	A increased anteroposterior thickness of the cornea.	角膜的前后厚度增加。
眼睛的异常	HP:0011488	Abnormality of corneal endothelium	角膜内皮细胞异常	Abnormality of the `corneal endothelium` (FMA:63882), that is, the single layer of cells on the inner surface of the cornea.	角膜内皮细胞异常（FMA:63882），即，角膜内皮细胞是角膜内表面上的单层细胞。
眼睛的异常	HP:0011489	Abnormal migration of corneal endothelium	角膜内皮细胞异常迁移	Abnormal migration of corneal endothelium.	角膜内皮细胞异常迁移。
眼睛的异常	HP:0011490	Abnormality of Descemet's membrane	角膜后弹力层异常	Abnormality of Descemet's membrane, which is the basement membrane of the corneal endothelium.	异常Descemet膜，这是角膜内皮的基底膜。
眼睛的异常	HP:0011491	Reduced number of corneal endothelial cells	角膜内皮细胞的数目减少	A reduction in the number of corneal endothelial cells.	角膜内皮细胞的数量减少。
眼睛的异常	HP:0011492	Abnormality of corneal stroma	角膜基质异常	An abnormality of the `stroma of cornea` (FMA:58306), also known as the substantia propria of cornea.	在角膜的基质（FMA:58306）异常时，也被称为角膜的固有质异常。
眼睛的异常	HP:0011493	Central opacification of the cornea	角膜的中央混浊	Reduced transparency of the central portion of the corneal stroma.	角膜中央基质层的透明度下降。
眼睛的异常	HP:0011494	Generalized opacification of the cornea	角膜混浊	Generalized reduced transparency of the stroma of the cornea.	角膜基质的透明度降低。
眼睛的异常	HP:0011495	Abnormality of corneal epithelium	角膜上皮异常	Abnormality of the `corneal epithelium` (FMA:58263), that is of the epithelial tissue that covers the front of the cornea.	角膜上皮异常（FMA:58263），角膜上皮是指覆盖在角膜的前部的上皮组织。
眼睛的异常	HP:0011496	Corneal neovascularization	角膜新生血管	Ingrowth of new blood vessels into the cornea.	向内生长的新生血管进入角膜。
眼睛的异常;心血管系统的异常	HP:0011497	Iris neovascularization	虹膜新生血管	New growth of vessels on the surface of the iris.	虹膜表面的新生血管。
眼睛的异常	HP:0011498	Partial aniridia	部分无虹膜	Sectoral aplasia of the iris.	虹膜部分发育不全。
眼睛的异常	HP:0011499	Mydriasis	瞳孔散大	Abnormal dilatation of the iris.	虹膜的异常扩张。
眼睛的异常	HP:0011500	Polycoria	多瞳症	Multiple pupils.	多个瞳孔。
眼睛的异常	HP:0011501	Anterior lenticonus	前圆锥形晶状体	A conical projection of the anterior surface of the lens, occurring as a developmental anomaly.	晶状体前表面的锥形突起异常，是一种发育异常。
眼睛的异常	HP:0011502	Posterior lenticonus	后圆锥形晶状体	A conical projection of the posterior surface of the lens, occurring as a developmental anomaly.	锥形突起的晶状体的后表面的，存在的一个的发育异常。
眼睛的异常	HP:0011503	aplasia of the fovea	黄斑中心凹的发育缺陷	Congenital absence of the fovea.	先天性无黄斑中心凹。
眼睛的异常	HP:0011504	Bull's eye maculopathy	牛眼黄斑病变	Progressive maculopathy characterized by concentric regions of hyper- and hypo-pigmentation.	渐进性黄斑病变，特点是黄斑区高荧光和低荧光呈同心圆样。
眼睛的异常;代谢/内稳态异常	HP:0011505	Cystoid macular edema	囊样黄斑水肿	Cystoid macular edema (CME) is any type of macular edema that involves cyst formation.	黄斑囊样水肿（CME）是任何类型的黄斑水肿，涉及囊肿形成。
眼睛的异常	HP:0011506	Choroidal neovascularization of the macula	黄斑脉络膜新生血管	Choroidal neovascularization (CNV) is the creation of new blood vessels in the choroid layer of the eye.	脉络膜新生血管（CNV）为脉络膜生出的新生血管。
